id,qid1,qid2,question1,question2,is_duplicate
281,560,561,Were there any slave with the name Reddice?,"In Ancient Rome, slaves were branded. What happened with the brand mark if they were subsequently liberated?",0
282,562,563,How long does it take for a dead body to float to the surface after drowning ?,"When a dead body is in a river, how long does it take before it floats?",1
283,564,565,How do I get over a friend with whom I haven't talked in 3 years but still miss him?,How do I get over someone I loved now that we broke up last year and I still miss her?,0
284,566,567,When travelling to a new region is it better to immerse yourself in 1–2 cities or to see as many cities as you can cram in?,What are the ways to explore world without spending more money?,0
285,568,569,How can I make money online with free of cost?,How do I to make money online?,1
286,570,571,Where can I buy best quality customized cupcakes in Gold Coast?,Where can I find delicious cupcakes at Gold Coast?,1
287,572,573,How successful was odd even plan?,How successful was the Delhi's Odd-even plan?,1
288,574,575,If there will be a war between India and Pakistan who will win?,Who will win if a war starts between India and Pakistan?,1
289,576,577,How do you deal with a fear of dying?,How can you reduce your fear of dying?,1
290,578,579,What would be the estimated cost of repairing the cracked screen of iphone 6?,What is the price I have to pay for repairing a broken iPhone 6 screen? How can it be done?,0
291,580,581,What are the most interesting products and innovations that McDonald's is coming out with in 2016?,What are the most interesting products and innovations that Ball is coming out with in 2016?,0
292,582,583,"Is there an end to the universe, and if not, is the universe infinite?",Is the Universe infinite or is there an end to the Universe?,1
293,584,585,What is CPAGrip.com?,What is bestmytest.com?,0
294,586,587,How much funds should I raise?,How much money should I raise?,1
295,588,589,What Anna Hazare think about PM Modi?,What do you people think of Mr. Arvind Kejriwal and his AAP?,0
296,590,591,What will be the effect of banning 500 and 1000 notes on stock markets in India?,What will be the effect of the ban of the 1000rs and 500rs notes on the stock market?,1
297,592,593,How does concentric contractions differ from eccentric contractions?,How do concentric and eccentric contraction compare and contrast?,1
298,594,595,Why did the puppet they used for Yoda in Episode I suck so bad?,"Why do people not question ""news"" posts and opinions posted on social media websites?",0
299,596,597,On what online platforms can I post ads for beer money opportunity?,What online platforms can I post ads for beer money opportunity?,0
300,598,599,What the meaning of this all life?,What's are the meaning of life?,1
301,600,601,How should I start small business effectively?,How should I start a small business in construction?,0
302,602,603,How can we acquire a positive morality?,What are time deposits? Are RD and FD types of time deposits?,0
303,604,605,Do you need friends?,Why do we need friends?,0
304,606,607,Do I exist?,Do we exist?,0
305,608,609,Which are the best Hollywood thriller movies?,What are the best thriller movie in Hollywood?,1
306,610,611,"Should I repeat 2nd year in college, or find a new college? It's a 5 year course.",I study in Ashutosh College in Kolkata. Can I study in any other college in India in my 2nd year?,0
307,612,613,How is petrol or diesel pumped up in a filling station using a motor without igniting any fire?,What happens when you fill a petrol car with diesel? What is the solution if such an incident happened?,0
308,614,615,What job possibilities exist for a Bachelors in Homeland Security?,What jobs are available with a bachelor’s degree in Homeland Security?,1
309,616,617,Which are the best books to understand calculus?,What are good books to self study calculus?,1
310,618,619,Why and how did you break up with her/him?,How and why did you break up with your ex?,1
311,620,621,Can I use Jio SIM in iPhone 5s?,Does iPhone 5S support JIO VoLTE?,0
312,622,623,What are some unwritten rules in USA?,What are some unwritten rules you have for your home?,0
313,624,625,What is the best answer to what you did in two years gap in a job interview?,What is the best excuse to explain a gap (of one or two years) in your job career for a job interview?,1
314,626,627,What are the best songs for low voices?,What are some songs for a sweet airy mezzo voice?,0
315,628,629,Can anyone predict my birth chart?,What can you tell me regarding this birth chart?,0
316,630,631,When was the birth of the trigonometric functions?,Who were the creators of trigonometry?,0
317,632,633,"What does this saying mean; ""Don't trust everything you see even salt looks like sugar""?","People say ""don't try to please others."" Does being nice to others mean pleasing them?",0
318,634,635,What do countries do to prevent war?,How should countries prevent war?,1
319,636,637,How can I become a billionaire?,How can I become a billionaire (in finance)?,1
320,638,639,Why should I learn web design?,How can I learn about web design?,0
321,640,641,"What's the best on-line calender/scheduling/booking system? Something that allows me to show my availability & customers can 'request' to meet me. When I 'accept' their request, the appointment pops into our calendars & reminders are automated.",Is there a web service that can send appointment sms-reminders to customers extracting data from Google calendar?,0
322,642,643,How will Indian GDP be affected from banning 500 and 1000 rupees notes?,What will be the implications of banning 500 and 1000 rupees currency notes on Indian economy?,1
323,644,645,Why does understanding death philosophical?,What makes understanding death philosophical?,1
324,646,647,Why are dogs considered omnivores?,Are dogs carnivorous animals?,1
325,648,649,What it is like to be cheated upon in a relationship?,What is it like to be in a relationship with someone you cheated with?,0
326,650,651,How do I know if someone blocked my texts?,If I turn of my user id off can I text someone that blocked me?,0
327,652,108,What are the most interesting foods you have eaten in any country?,What is the most delicious dish you've ever eaten and why?,1
328,653,654,What is it like to be a private banker?,What is like to be a private banker in Switzerland?,0
329,655,656,What is journalism for you?,What is journalism?,0
330,657,658,How can one increase concentration?,How can I improve my concentration?,1
331,659,660,"How do I see ""sent invitations"" on Linkedin if I don't have any more pending invitations?","How can you personalize a LinkedIn invitation? I think I just sent a colleague an invitation on LinkedIn, but did not get a chance to personalize it!",0
